stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
NET,cu1_du2,DU_0,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,144,6,35,0.9600,0.8045,0.8754,,,,
NET,cu2_du3du4du5,CU,179,36,10,143,0.7826,0.2011,0.3200,36,36,100.0,net_diff
NET,cu2_du3du4du5,DU_0,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,6,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,36,10,143,0.7826,0.2011,0.3200,,,,
NET,cu0_du0du1,CU,179,178,14,1,0.9271,0.9944,0.9596,178,178,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,179,178,24,1,0.8812,0.9944,0.9344,,,,
NET,cu1_du2,CU,179,144,2,35,0.9863,0.8045,0.8862,144,144,100.0,net_diff
NET,cu1_du2,DU_0,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,144,6,35,0.9600,0.8045,0.8754,,,,
NET,cu2_du3du4du5,CU,179,36,10,143,0.7826,0.2011,0.3200,36,36,100.0,net_diff
NET,cu2_du3du4du5,DU_0,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,6,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,36,10,143,0.7826,0.2011,0.3200,,,,
