ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,20,0,251.470940,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,5,0,251.470940,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.871795,0.949721,0.909091,170,25,9,,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,0,179,234.183740,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,255.872016,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.000000,0.000000,0.000000,0,1,179,,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.157383,0.994413,0.271756,178,953,1,248.628117,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,1,0,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.157383,0.994413,0.271756,178,953,1,,3
